,english_name,french_name,spanish_name,Country,ISO639-3_codes,endangerment_degree,alternate_names,name_in_the_language,number_of_speakers,Latitude,Longitude,location_description,GDP_per_capita_US_dollars,expenditure_on_research_and_development_GDP_percentage,co2_emissions_percapita_metric_tons,tourist_arrivals_thousands,threatened_species_total_number,expenditure_on_secondary_education,population_mid_year_estimates_millions,international_migrants_number,land_area_thousand_hectars,internet_usage_percentage_of_people,expenditure_on_education_percentage_GDP,expenditure_on_health_percentage_of_GDP,continent,family,language_vitality_level,country_vitality_level,Continent
1795,Mangareva,mangareva,mangarevano,French Polynesia (France),mrv,Severely endangered,"Mangarevan, Ma'areva",NA,300,-23.1226,-134.978,Mangareva (Gambier Islands),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papunesia,Austronesian,3,3.5,Unspecified
1796,Mani,mani,mani,Guinea,buy,Critically endangered,"Mmani Bullom, Bullom So",NA,300,9.1129,-13.2165,NA,672,NA,NA,12,134,150,10.19,178762,24572,1,2.6,3.4,NA,NA,2,2.875,Africa
1797,Mani,mani,mani,Sierra Leone,buy,Critically endangered,"Mmani Bullom, Bullom So",NA,300,9.1129,-13.2165,NA,402,NA,NA,39,131,160,6.42,79265,7218,0.6,2.7,10.9,NA,NA,2,1.8,Africa
1798,Maniq,maniq,maniq,Thailand,tnz,Definitely endangered,"Tonga, Mos, Ten'en",NA,300,7.35,99.9333,NA,5076,0.2,3.3,15936,477,2009,67.2,3234381,51089,22.4,4.8,3.4,Eurasia,Austroasiatic,4,3.5,Asia
1799,Mono,mono,mon-non,Cameroon,mnr,Critically endangered,NA,NA,300,8.6679,14.1723,NA,1285,NA,0.2,573,624,373,20.34,291474,47271,4.3,3,3.8,Papunesia,Austronesian,2,2.416666667,Africa
1800,Northern Paiute (Oregon),paiute du nord (Oregon),payuté septentrional (Oregon),United States of America,pao,Critically endangered,Paviotso,NA,300,43.5883,-119.0595,"Speakers of Northern Paiute are found in communities in Oregon, Nevada, California and Idaho.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,2,2.40969163,Unspecified
1801,Phong,phong,pong,Lao People's Democratic Republic,"hnu, tmk",Definitely endangered,NA,NA,300,18.3333,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurasia,Austroasiatic,4,3.8125,Unspecified
1802,Shanenawa,shanenawa,shanenawa,Brazil,ywn,Vulnerable,NA,NA,300,-8.1014,-70.2129,"The group lives in the indigenous villages Morada Nova, Paredão, Nova Vida and Cardoso  - Municipality of Feijó - Acre State - Brazil",11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,South America,Pano-Tacanan,5,3.747368421,South America
1803,Sissano,sissano,sissano,Papua New Guinea,sso,Critically endangered,NA,NA,300,-3.0129,142.0491,"Between Vanimo and Aitape, Sandaun (West Sepik) Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,Austronesian,2,3.214285714,Oceania
1804,Skolt Saami,saami skolt,saamí de Skolt,Finland,sms,Severely endangered,NA,sää´mǩiõll,300,69.5333,28.6269,"Sevettijärvi region in Inari County in Lapland Province, Finland, mainly by people evacuated from former Finnish territory of Petsamo, now Pechenga County in Murmansk Province, the Russian Federation; earlier also in the western parts of Kola County in western Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County; formerly also easternmost Finnmark Province of Norway",46439,3.7,11.6,3670,18,234,5.37,228481,30390,86.9,6.5,9.1,Eurasia,Uralic,3,3.375,Europe
1805,Skolt Saami,saami skolt,saamí de Skolt,Norway,sms,Severely endangered,NA,sää´mǩiõll,300,69.5333,28.6269,"Sevettijärvi region in Inari County in Lapland Province, Finland, mainly by people evacuated from former Finnish territory of Petsamo, now Pechenga County in Murmansk Province, the Russian Federation; earlier also in the western parts of Kola County in western Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County; formerly also easternmost Finnmark Province of Norway",87754,1.7,8.2,4767,36,243,4.89,524601,36524,93.4,6.7,8.9,Eurasia,Uralic,3,3.166666667,Europe
1806,Skolt Saami,saami skolt,saamí de Skolt,Russian Federation,sms,Severely endangered,NA,sää´mǩiõll,300,69.5333,28.6269,"Sevettijärvi region in Inari County in Lapland Province, Finland, mainly by people evacuated from former Finnish territory of Petsamo, now Pechenga County in Murmansk Province, the Russian Federation; earlier also in the western parts of Kola County in western Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County; formerly also easternmost Finnmark Province of Norway",10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,Eurasia,Uralic,3,3.135135135,Europe
1807,Tarpia,tarpia,tarpia,Indonesia,suf,Severely endangered,Sufrai,NA,300,-2.3723,140.0317,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,3,3.577181208,Asia
1808,Tause,tause,tause,Indonesia,tad,Vulnerable,"Doa, Darha",NA,300,-2.8744,136.2469,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Lakes Plain,5,3.577181208,Asia
1809,Thaayorre,thayore,tayore,Australia,thd,Definitely endangered,"Kuuk Thaayorre, Kuuk Thaayoore, Kuuk Thaayorre, Thaayore, Thayorre, Taior, Gugudayor, Kuktayor, Kukudayore, Behran.",NA,300,-15.0867,141.7167,NA,58654,2.4,17.4,5790,853,1301,22.15,5882980,768230,76,5.6,8.4,NA,NA,4,2.935185185,Oceania
1810,Tlingit (United States of America),tlingit (États-Unis d'Amérique),coluchano (Estados Unidos),United States of America,tli,Critically endangered,Tlinkit,NA,300,58.334,-133.7475,Tlingit area is the southeast Alaska coast from Yakutat to Ketchikan,48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,2,2.40969163,Unspecified
1811,Tol,tolupan,tol,Honduras,jic,Critically endangered,"Tolpan, Tolupan, Jicaque",NA,300,15.293,-87.1416,Yoro dept; Montaña de la Flor north of the Francisco Morazán dept.,1904,0,0.9,863,240,251,8.32,27288,11189,11.1,5.9,8.7,North America,Jicaquean,2,2.875,North America
1812,Tsakonian,tsakonien,tsakoniano,Greece,tsd,Critically endangered,τσακωνικά (in Greek),NA,300,37.1712,22.7911,"villages around Leonidio in the south of the area, and the villages of Kastanitsa and Sitena in the north; Propontis Tsakonian was spoken in the villages of Havoutsi and Vatka on the mouth of the Gönen river in northeastern Turkey, but the speakers were settled in Greece following the 1922 population exchanges, and Propontis Tsakonian became extinct in the 1970s",27264,0.6,7.5,15007,156,364,10.89,1321149,12890,44.4,4,9.5,Eurasia,Indo-European,2,3,Europe
1813,Tuahka,tuahka,tuahka,Nicaragua,NA,Severely endangered,Sumo,NA,300,13.838,-84.4409,"Wasakin, RAAN",1504,0,0.7,1011,121,146,5.82,37345,12034,10,4.5,7.7,NA,NA,3,2.818181818,North America
1814,Ute (Utah),ute (Utah),uté (Utah),United States of America,ute,Severely endangered,NA,NA,300,40.2329,-109.8223,Uintah-Ouray Ute Reservation,48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,3,2.40969163,Unspecified
1815,Vedda,vedda,veda,Sri Lanka,ved,Definitely endangered,Veddha; Veda; Weda; Weddo; Beda; Bedda; Vaedda,NA,300,7.346,81.3935,"Eastern Mountains, Badulla and Polonnaruwa districts",2800,0.1,0.6,654,552,1239,20.26,38959,6271,12,1.7,3.9,NA,NA,4,4,Asia
1816,Vera'a,vera'a,vatrata,Vanuatu,vlr,Definitely endangered,Vatrata,NA,300,-13.872,167.4323,Vanua Lava,2967,NA,NA,97,121,6,0.24,2991,1219,8,5,3.4,Papunesia,Austronesian,4,3,Oceania
1817,Warapu,warapu,varapú,Papua New Guinea,wra,Severely endangered,NA,NA,300,-2.9876,141.9838,"Northwest peninsula of the Sissano lagoon, Between Vanimo and Aitape, Sandaun (West Sepik) Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,NA,NA,3,3.214285714,Oceania
1818,Waru,waru,waru,Indonesia,wru,Definitely endangered,Mopute,NA,300,-3.4393,121.9921,Sulawesi,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,4,3.577181208,Asia
1819,Yawarana,yawarana,yabarana,Venezuela (Bolivarian Republic of),yar,Severely endangered,NA,NA,300,5.3863,-66.0058,"San Juan de Manapiare (Amazonas), Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.676470588,Unspecified
1820,Yimas,yimas,yimaso,Papua New Guinea,yee,Severely endangered,NA,NA,300,-4.6038,143.6077,"Lower Arafundi River, southeastern part of the East Sepik Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,Lower Sepik-Ramu,3,3.214285714,Oceania
1821,Tilapa Otomí,otomí de Tilapa,otomí de Tilapa,Mexico,otl,Severely endangered,ñu'hü,NA,292,18.8923,-99.2986,"Tilapa, municipality of Tianguistengo, state of Mexico",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1822,Paumarí,paumarí,paumarí,Brazil,pad,Severely endangered,Palmari,NA,290,-5.8947,-64.5996,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,3,3.747368421,South America
1823,Wayana (Brazil),wayana (Brésil),wayana (Brasil),Brazil,way,Vulnerable,"Waiana, Uaiana",NA,288,1.3182,-55.2612,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,5,3.747368421,South America
1824,Achagua,achagua,achagua,Colombia,aca,Severely endangered,"Xagua, Ajagua, Axagua",NA,283,4.434,-70.8837,Resguardos La Victoria (Umapo) and Turpial in the municipality of Puerto López (Meta). Location shared with Piapoco speakers.,6337,0.2,1.3,1405,681,1398,45.22,130309,110950,36.5,4.8,7.1,South America,Arawakan,3,3.492753623,South America
1825,Guajá,guajá,guajá,Brazil,gvj,Vulnerable,"Awá, Avá",NA,283,-3.4914,-46.2963,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,South America,Tupian,5,3.747368421,South America
1826,Maniwaki Algonquin,algonquin maniwaki,algonquino de Maniwaki,Canada,alq,Severely endangered,NA,NA,280,46.3392,-76.0485,Spread over 2 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,NA,NA,3,3.322580645,North America
1827,Alabama,alabama,alabama-koasati,United States of America,akz,Definitely endangered,NA,NA,275,30.7158,-94.7028,"The Alabama-Coushatta Indian Reservation near Livingston, Texas. Until recently there were also speakers among the members of the Alabama-Quassarte Tribe, an administrative subdivision of the Muskogee Creek Nation, in Okfuskee County, Oklahoma.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,North America,Muskogean,4,2.40969163,Unspecified
1828,Cocopa (Arizona),cocopa (Arizona),cocopa (Arizona),United States of America,coc,Severely endangered,Cucapá,NA,275,32.608,-114.6497,"Cocopah reservation near Yuma, Arizona, and in Cucapá communities in Baja California and Sonora, Mexico.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,3,2.40969163,Unspecified
1829,Miltu,miltou,miltú,Chad,mlj,Critically endangered,NA,NA,272,10.2149,17.3913,NA,918,0.3,NA,71,30,124,11.95,417034,125920,1.7,2,4.1,Africa,Afro-Asiatic,2,2.896551724,Africa
1830,Arara do Pará,arara du Pará,arára de Pará,Brazil,aap,Vulnerable,Ukarãgmã,NA,271,-3.7546,-52.976,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,5,3.747368421,South America
1831,Kaki Ae,kaki ae,tate,Papua New Guinea,tbd,Vulnerable,"Raepa Tati, Tate",NA,266,-7.9653,145.7858,"Southeast of Kerema, Gulf Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,NA,5,3.214285714,Oceania
1832,Nisga'a,nisga’a,nasguixián niska,Canada,ncg,Severely endangered,NA,NA,265,55.2035,-129.07,Spread over 5 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,North America,Tsimshian,3,3.322580645,North America
1833,"Zapotec of the Valleys, central","zapotèque des vallées, centre",zapoteco del valle central,Mexico,NA,Severely endangered,disá,NA,257,16.85,-96.6666,"Locality of Santo Tomás Jalieza, Oaxaca",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1834,Bosilewa,bosilewa,bosilewa,Papua New Guinea,bwf,Vulnerable,Boselewa,NA,250,-9.449,150.661,"Central north coast of Fergusson Island, Milne Bay Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,NA,NA,5,3.214285714,Oceania
1835,Caquinte Campa,caquinte campa,caquinté,Peru,cot,Definitely endangered,NA,NA,250,-11.146,-73.4765,NA,5082,0.2,1.4,2299,551,896,29.03,104706,128000,34.8,2.9,4.7,NA,NA,4,3.209677419,South America
1836,Gwich'in (Canada),gwichin (Canada),güichín (Canadá),Canada,gwi,Severely endangered,NA,NA,250,67.4407,-134.8272,Spread over 5 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,NA,NA,3,3.322580645,North America
1837,Kaibobo,kaibobo,kaibobo,Indonesia,kzb,Definitely endangered,NA,NA,250,-3.1843,128.1829,Maluku,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,4,3.577181208,Asia
1838,Kaiep,kaiep,kaiep,Papua New Guinea,kbw,Vulnerable,NA,NA,250,-3.6666,143.8166,"Around Taul, East Sepik Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,Austronesian,5,3.214285714,Oceania
1839,Kaiy,kaiy,kaiy,Indonesia,tcq,Vulnerable,"Taori-Kei, Todi",NA,250,-2.943,138.1777,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Lakes Plain,5,3.577181208,Asia
1840,Laji,laji,lají,China,lbt,Critically endangered,NA,NA,250,22.5304,105.885,NA,4447,1.7,5.9,55664,859,44693,1368.81,849861,942470,34.3,NA,4.2,NA,NA,2,3.587837838,Asia
1841,Lehali,lehali,lehali,Vanuatu,tql,Vulnerable,NA,NA,250,-13.5205,167.2998,Ureparapara Island,2967,NA,NA,97,121,6,0.24,2991,1219,8,5,3.4,Papunesia,Austronesian,5,3,Oceania
1842,Lillooet,lillooet,liluet,Canada,lil,Severely endangered,NA,NA,250,50.3326,-122.6789,Spread over 18 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,North America,Salishan,3,3.322580645,North America
1843,Löyöp,löyöp,löyöp,Vanuatu,urr,Vulnerable,Lehalurup,NA,250,-13.5311,167.3368,Ureparapara Island,2967,NA,NA,97,121,6,0.24,2991,1219,8,5,3.4,NA,NA,5,3,Oceania
1844,Nyangumarta,nyangumarta,ñangumarta,Australia,nna,Vulnerable,"Nyangumarda, Nyangumata.",NA,250,-20.016,120.4101,NA,58654,2.4,17.4,5790,853,1301,22.15,5882980,768230,76,5.6,8.4,Australia,Pama-Nyungan,5,2.935185185,Oceania
1845,Pear,pear,pear,Cambodia,pcb,Severely endangered,Eastern Pear,NA,250,12.4666,102.65,NA,786,0,0.3,2508,204,286,14.31,82028,17652,1.3,1.5,6.9,Eurasia,Austroasiatic,3,2.684210526,Asia
1846,Ruc,ruc,ruc,Lao People's Democratic Republic,scb,Definitely endangered,Chut,NA,250,17.6833,105.7833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurasia,Austroasiatic,4,3.8125,Unspecified
1847,Ruc,ruc,ruc,Viet Nam,scb,Definitely endangered,Chut,NA,250,17.6833,105.7833,NA,1318,0.2,1.4,5050,424,NA,87.97,61756,31007,30.7,5.1,6,Eurasia,Austroasiatic,4,3.821428571,Unspecified
1848,Sause,sause,sause,Indonesia,sao,Severely endangered,NA,NA,250,-3.1706,139.7515,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,NA,3,3.577181208,Asia
1849,Texistepecan,texistepèque,popoluca de Texistepeco,Mexico,poq,Severely endangered,NA,NA,250,17.8941,-94.8163,"Municipality of Texistepec, state of Veracruz",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1850,Winnebago (Nebraska),winnebago (Nebraska),winnebago (Nebraska),United States of America,win,Severely endangered,"Ho-Chunk, Hochank",NA,250,42.2475,-96.4722,Winnebago Tribe of northeastern Nebraska and the Ho-Chunk Nation of central Wisconsin.,48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,3,2.40969163,Unspecified
1851,Winnebago (Wisconsin),winnebago (Wisconsin),winnebago (Wisconsin),United States of America,win,Severely endangered,"Ho-Chunk, Hochank",NA,250,44.2986,-90.8508,The Ho-Chunk Nation of central Wisconsin and the Winnebago Tribe of northeastern Nebraska.,48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,3,2.40969163,Unspecified
1852,Zapotec of San Bartolo Yautepec,zapotèque de San Bartolo Yautepec,zapoteco de San Bartolo Yautepec,Mexico,zpb,Severely endangered,di'izhdë,NA,246,16.4333,-95.9666,"San Bartolo Yautepec, Municipality of the state of Oaxaca",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1853,Mixtec of San Miguel Piedras,mixtèque de San Miguel Piedras,mixteco de San Miguel Piedras,Mexico,NA,Severely endangered,tu' un savi,NA,243,17,-97.05,"Municipality of San Miguel Piedras, state of Oaxaca",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1854,North Alaskan Inupiaq (Canada),inupiaq du nord de l'Alaska (Canada),inuí alaskiano septentrional (Canadá),Canada,esi,Severely endangered,"Uummarmiutun, Inupiatun",NA,240,68.3217,-133.532,Spread over 2 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,NA,NA,3,3.322580645,North America
1855,Waiwai (Guyana),tunayana (Guyane),waiwai (Guyana),Guyana,waw,Vulnerable,"Wai-Wái, Tunayana",NA,240,1.5598,-58.5131,"Gunn's Strip on the Upper Essequibo in the south of  Guyana (240 people). Most live in Brazil (states of Roraima, Pará and Amapá). Some speakers live among the Trio in Suriname.",4581,NA,NA,152,69,25,0.75,8182,19685,29.9,3.6,5.9,NA,NA,5,3.666666667,South America
1856,As,as,as,Indonesia,asz,Vulnerable,NA,NA,230,-0.736,131.7727,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,5,3.577181208,Asia
1857,Siglitun,siglitun,siglitun,Canada,ikt,Severely endangered,Western Canadian Inuktitut,NA,230,69.4386,-132.9998,Spread over 3 communities in Canada,47361,1.8,15.5,16219,77,1812,34.15,6761226,896559,80.3,5.3,10.7,North America,Eskimo-Aleut,3,3.322580645,North America
1858,K'iche' (Mexico),k'iche' (Mexique),quiché (México),Mexico,quc,Definitely endangered,"K'iché, Quiché",NA,226,19.3482,-90.7177,Municipality of Champotón in the state of Campeche; municipalities of Las Margaritas and Marqués de Comillas in the state of Chiapas,9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,4,3.846153846,North America
1859,Paipai,paipai,paipái,Mexico,ppi,Severely endangered,NA,NA,226,29.65,-115.1333,"Ensenada, BC",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,North America,Cochimi-Yuman,3,3.846153846,North America
1860,Garuwahi,garuwahi,garuvahi,Papua New Guinea,grw,Definitely endangered,Gweda,NA,225,-10.2284,150.4083,"Near east cape, Milne Bay Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,NA,NA,4,3.214285714,Oceania
1861,Picuris,picuris,picuris,United States of America,twf,Vulnerable,NA,NA,225,36.1914,-105.7151,"Picuris Pueblo, 50 miles north of Santa Fe, NM.",48516,2.7,17.3,60010,1152,11868,309.01,44183643,914742,71.7,5,16.3,NA,NA,5,2.40969163,Unspecified
1862,Neku,neku,neku,New Caledonia (France),nek,Severely endangered,néku,NA,221,-21.5169,165.4568,"Bourail, Moindou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papunesia,Austronesian,3,3.894736842,Unspecified
1863,Tiri,tîrî,tiri,New Caledonia (France),"tir, meg",Definitely endangered,mea,NA,221,-21.6141,165.7836,"La Foa, Sarraméa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papunesia,Austronesian,4,3.894736842,Unspecified
1864,Danisi,danisi,danisa,Botswana,shg,Critically endangered,Language belonging to the Shua-Tshwa cluster.,NA,220,-19.4769,25.2136,Pointer at main settlement.,6435,0.5,1.6,1973,18,49,1.99,94863,56673,6,9.6,6.2,Africa,Khoe-Kwadi,2,3.363636364,Africa
1865,Emplawas,emplawas,emplavas,Indonesia,emw,Definitely endangered,NA,NA,220,-8.0374,129.7375,Maluku,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,4,3.577181208,Asia
1866,Mixtec of the northeast lowlands,mixtèque des basses terres du nord-est,Mixteco del noreste bajo,Mexico,NA,Severely endangered,tu' un savi,NA,220,17.5333,-97.35,"Municipality of Santo Domingo Yanhuitlán, state of Oaxaca",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,3,3.846153846,North America
1867,Musom,musom,musom,Papua New Guinea,msu,Definitely endangered,Misatik,NA,219,-6.5391,146.9119,"Southwestern corner of the Huon Peninsula, north-northwest of Lae town, Morobe Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,Austronesian,4,3.214285714,Oceania
1868,Pwaamèi,pwaamèi,pwaamei,New Caledonia (France),pme,Definitely endangered,NA,NA,219,-20.8767,164.7413,Voh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.894736842,Unspecified
1869,"Zapotec of the Valleys, west","zapotèque des vallées, ouest",zapoteco del valle occidental,Mexico,NA,Definitely endangered,dizë,NA,211,16.2666,-96.8833,Locality of San Pablo Cuatro Venados. state of Oaxaca,9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,4,3.846153846,North America
1870,Karo,káro,karo,Brazil,arr,Vulnerable,"Arara, Arara Karo, Arara de Rondônia, Arara Tupi, Ntogapíd, Itogapúk, Ramarama, Uruku, Urumi, Ytangá",NA,208,-10.5749,-61.5893,"The group lives in the southern part of the indigenous lands Igarapé de Lourdes, in the villages Iterap and Paygap, eastern Rondônia - Brazil.  Almost all speak the language.",11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,South America,Tupian,5,3.747368421,South America
1871,Cocopa (Mexico),cucapá (Mexique),cocopa (México),Mexico,coc,Definitely endangered,NA,NA,206,32.25,-115.25,"Mexicali, BC, San Luis Rio Colorado, Sonora",9271,0.5,3.9,23290,943,4055,114.09,969710,194395,31.1,5.2,6,NA,NA,4,3.846153846,North America
1872,Korúbo,korúbo,korubo,Brazil,xor,Vulnerable,Caceteiros,NA,205,-5.8346,-70.9277,NA,11286,1.2,1.9,5161,773,9284,195.71,592640,835814,40.7,5.6,7.9,NA,NA,5,3.747368421,South America
1873,Aja,aja,aja,Sudan,aja,Critically endangered,Adja,NA,200,8.6136,25.2465,NA,1584,0.3,0.3,495,112,754,34.55,618709,184923,16.7,2.2,5.1,NA,NA,2,3.030769231,Africa
1874,Antakirinya,antakirinya,antakariña,Australia,ant,Definitely endangered,NA,NA,200,-26.7848,134.2968,NA,58654,2.4,17.4,5790,853,1301,22.15,5882980,768230,76,5.6,8.4,NA,NA,4,2.935185185,Oceania
1875,Bana,bana,bana,Lao People's Democratic Republic,phq,Severely endangered,NA,NA,200,20.4836,100.3161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa,Afro-Asiatic,3,3.8125,Unspecified
1876,Baras,baras,baras,Indonesia,brs,Severely endangered,Ende,NA,200,-1.8838,119.3774,"Sulawesi, Indonesia",3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,3,3.577181208,Asia
1877,Batak,batak,bataco,Philippines,bya,Definitely endangered,NA,NA,200,10.1081,119,NA,2124,0.1,0.8,3520,697,1462,93.97,208599,29817,25,2.5,4.3,Papunesia,Austronesian,4,2.8,Asia
1878,Birri,birri,birri,Central African Republic,bvq,Critically endangered,Viri,NA,200,5.4902,26.8505,NA,488,NA,NA,54,36,22,4.39,94685,62298,2,1.1,3.7,Africa,Central Sudanic,2,3.2,Africa
1879,Bonggo,bonggo,bonggo,Indonesia,bpg,Severely endangered,NA,NA,200,-2.2461,139.5208,Irian Jaya,3122,0.1,1.6,7003,1142,8179,241.83,307487,181157,10.9,2.8,3,Papunesia,Austronesian,3,3.577181208,Asia
1880,Central Siberian Yupik (Chukotka),yupik de Sibérie (Chukotka),yupí siberiano central (península Chukchi),Russian Federation,ess,Severely endangered,Chaplino Yupik; азиатских эскимосов язык,NA,200,64.546,-173.128,"settlements in south-eastern parts of Chukchi Peninsula, including Novoye Chaplino, Provideniya, Uelkal and Sireniki, Chukchi Autonomous District",10732,1.1,10.7,22281,126,3210,143.48,11194710,1637687,43,4.1,5,NA,NA,3,3.135135135,Europe
1881,Chawte,chawte,chote naga,Myanmar,NA,Definitely endangered,NA,NA,200,24.1918,94.2736,NA,886,0.2,0.2,792,249,674,50.6,76414,65326,0.3,0.8,1.9,NA,NA,4,2.964285714,Asia
1882,Che Wong,che wong,chuba,Malaysia,cwg,Definitely endangered,NA,NA,200,3.6271,102.1907,NA,9041,1,6.7,24577,1180,1099,28.21,2417395,32855,56.3,5.8,3.2,NA,NA,4,2.64,Asia
1883,Defaka,defaka,defaka,Nigeria,afn,Critically endangered,Afakani,NA,200,4.538,7.5311,NA,2292,0.1,0.4,1555,297,4047,158.5,990494,91077,11.5,NA,3.3,Africa,Ijoid,2,2.655172414,Africa
1884,Doga,doga,doga,Papua New Guinea,dgg,Definitely endangered,Magabara,NA,200,-9.6278,149.8384,"Northern coast of Cape Vogel, Milne Bay Province",1949,0,NA,140,453,136,7.31,30425,45286,1.3,1.9,2.1,Papunesia,Austronesian,4,3.214285714,Oceania
1885,Dorig,dorig,wetamut,Vanuatu,wwo,Definitely endangered,Wetamut,NA,200,-14.3236,167.5669,Gaua Island,2967,NA,NA,97,121,6,0.24,2991,1219,8,5,3.4,Papunesia,Austronesian,4,3,Oceania
1886,Dukha,tukha,dukha,Mongolia,NA,Severely endangered,Tuha; Tsaatan,NA,200,51.9307,98.9318,"to the northwest of Lake Khövsgöl, mainly in the Tsaagannuur district of Khövsgöl League in the northernmost region of Mongolia",2643,0.2,5.2,456,36,97,2.72,16062,155356,10.2,4.6,3.7,Eurasia,Turkic,3,3.571428571,Asia
1887,Emae,emae,mae,Vanuatu,mmw,Vulnerable,Emwae,NA,200,-17.0567,168.3956,"Emwae Island, Shepherd Islands, north of Efate Island",2967,NA,NA,97,121,6,0.24,2991,1219,8,5,3.4,Papunesia,Austronesian,5,3,Oceania
